userID,itemID,rating
1,1,0.75
1,3,0.75
1,6,0.75
1,47,1.0
1,50,1.0
1,70,0.5
1,101,1.0
1,110,0.75
1,157,1.0
1,163,1.0
1,216,1.0
1,223,0.5
1,231,1.0
1,235,0.75
1,260,1.0
1,296,0.5
1,316,0.5
1,333,1.0
1,349,0.75
1,356,0.75
1,362,1.0
1,367,0.75
1,423,0.5
1,441,0.75
1,457,1.0
1,480,0.75
1,500,0.5
1,527,1.0
1,543,0.75
1,552,0.75
1,553,1.0
1,590,0.75
1,592,0.75
1,596,1.0
1,608,1.0
1,648,0.5
1,661,1.0
1,733,0.75
1,736,0.5
1,780,0.5
1,804,0.75
1,919,1.0
1,923,1.0
1,940,1.0
1,943,0.75
1,954,1.0
1,1009,0.5
1,1023,1.0
1,1024,1.0
1,1025,1.0
1,1029,1.0
1,1030,0.5
1,1031,1.0
1,1032,1.0
1,1042,0.75
1,1049,1.0
1,1060,0.75
1,1073,1.0
1,1080,1.0
1,1089,1.0
1,1090,0.75
1,1092,1.0
1,1097,1.0
1,1127,0.75
1,1136,1.0
1,1196,1.0
1,1197,1.0
1,1198,1.0
1,1206,1.0
1,1208,0.75
1,1210,1.0
1,1213,1.0
1,1219,0.25
1,1220,1.0
1,1222,1.0
1,1224,1.0
1,1226,1.0
1,1240,1.0
1,1256,1.0
1,1258,0.5
1,1265,0.75
1,1270,1.0
1,1275,1.0
1,1291,1.0
1,1298,1.0
1,1348,0.75
1,1377,0.5
1,1396,0.5
1,1408,0.5
1,1445,0.5
1,1500,0.75
1,1552,0.75
1,1573,1.0
1,1580,0.5
1,1625,1.0
1,1644,0.5
1,1732,1.0
1,1777,0.75
1,1805,0.75
1,1927,1.0
1,1954,1.0
1,1967,0.75
1,2005,1.0
1,2012,0.75
1,2018,1.0
1,2028,0.75
1,2033,1.0
1,2048,1.0
1,2054,0.75
1,2058,1.0
1,2090,1.0
1,2093,0.5
1,2099,0.75
1,2105,0.75
1,2115,1.0
1,2116,1.0
1,2137,1.0
1,2139,1.0
1,2143,0.75
1,2174,0.75
1,2193,0.75
1,2268,0.75
1,2291,1.0
1,2329,1.0
1,2338,0.25
1,2353,1.0
1,2387,1.0
1,2414,0.5
1,2427,1.0
1,2450,0.75
1,2459,1.0
1,2478,0.75
1,2502,1.0
1,2528,0.5
1,2542,1.0
1,2571,1.0
1,2580,1.0
1,2596,1.0
1,2616,0.75
1,2617,0.25
1,2628,0.75
1,2640,0.75
1,2641,1.0
1,2644,0.75
1,2648,0.75
1,2657,0.5
1,2692,1.0
1,2700,1.0
1,2716,1.0
1,2761,1.0
1,2797,0.75
1,2858,1.0
1,2872,1.0
1,2916,0.75
1,2944,1.0
1,2947,1.0
1,2948,1.0
1,2959,1.0
1,2985,0.75
1,2987,1.0
1,2991,1.0
1,2997,0.75
1,3033,1.0
1,3034,1.0
1,3052,1.0
1,3062,0.75
1,3168,0.75
1,3176,0.0
1,3243,0.5
1,3247,0.5
1,3253,1.0
1,3273,1.0
1,3386,1.0
1,3439,0.75
1,3440,0.75
1,3441,1.0
1,3448,1.0
1,3450,1.0
1,3479,0.75
1,3489,0.75
1,3527,0.75
1,3578,1.0
1,3617,0.75
1,3639,0.75
1,3671,1.0
1,3702,1.0
1,3740,0.75
1,3809,0.75
1,4006,0.75
2,333,0.6
2,1704,0.8
2,3578,0.6
2,6874,0.6
2,8798,0.4
2,46970,0.6
2,48516,0.6
2,58559,0.8
2,60756,1.0
2,68157,0.8
2,74458,0.6
2,79132,0.6
2,80489,0.8
2,86345,0.6
2,89774,1.0
2,91529,0.4
2,91658,0.0
2,99114,0.4
2,106782,1.0
2,109487,0.2
2,115713,0.4
2,122882,1.0
3,527,0.0
3,647,0.0
3,720,0.0
3,849,1.0
3,914,0.0
3,1093,0.0
3,1124,0.0
3,1263,0.0
3,1272,0.0
3,1275,0.6666666666666666
3,2018,0.0
3,2080,0.0
3,2090,0.0
3,2288,0.7777777777777778
3,3210,0.0
3,3703,1.0
3,6238,0.0
3,72378,0.0
4,21,0.5
4,32,0.25
4,45,0.5
4,47,0.25
4,52,0.5
4,58,0.5
4,125,1.0
4,162,1.0
4,171,0.5
4,215,1.0
4,222,0.0
4,232,1.0
4,247,0.5
4,265,1.0
4,296,0.0
4,342,1.0
4,345,0.75
4,348,0.75
4,357,0.5
4,368,0.75
4,417,0.25
4,441,0.0
4,457,1.0
4,475,1.0
4,492,1.0
4,538,1.0
4,539,0.0
4,553,0.25
4,588,0.75
4,593,1.0
4,595,0.5
4,599,0.25
4,608,1.0
4,648,0.5
4,800,0.75
4,892,0.75
4,898,1.0
4,899,0.75
4,902,0.75
4,904,0.75
4,910,1.0
4,912,1.0
4,919,1.0
4,920,1.0
4,930,1.0
4,1025,0.75
4,1057,0.5
4,1060,0.25
4,1073,0.75
4,1077,1.0
4,1080,1.0
4,1084,1.0
4,1086,1.0
4,1094,0.5
4,1136,1.0
4,1179,0.75
4,1183,0.0
4,1196,1.0
4,1198,0.5
4,1199,0.25
4,1211,0.0
4,1213,0.75
4,1225,0.75
4,1250,1.0
4,1265,0.75
4,1266,0.75
4,1279,0.25
4,1282,1.0
4,1283,1.0
4,1288,0.75
4,1304,0.5
4,1391,0.0
4,1449,1.0
4,1500,0.75
4,1517,0.75
4,1580,0.5
4,1597,0.0
4,1719,0.75
4,1732,0.75
4,1834,1.0
4,1883,0.75
4,1885,0.5
4,1892,0.25
4,1895,0.75
4,1907,0.5
4,1914,0.75
4,1916,0.0
4,1923,0.5
4,1947,1.0
4,1966,0.25
4,1967,1.0
4,1968,0.75
4,2019,0.25
4,2076,0.75
4,2078,1.0
4,2145,0.5
4,2150,1.0
4,2174,1.0
4,2186,1.0
4,2203,0.75
4,2282,0.0
4,2336,0.25
4,2351,0.75
4,2390,1.0
4,2395,0.5
4,2406,0.75
4,2467,0.75
4,2571,0.0
4,2583,1.0
4,2628,0.0
4,2692,1.0
4,2712,0.25
4,2770,0.25
4,2791,1.0
4,2843,1.0
4,2858,1.0
4,2921,0.75
4,2926,1.0
4,2973,0.25
4,2997,0.75
4,3044,1.0
4,3060,0.75
4,3083,1.0
4,3160,0.75
4,3176,0.75
4,3255,0.75
4,3317,0.75
4,3365,1.0
4,3481,0.25
4,3489,0.0
4,3508,1.0
4,3591,0.0
4,3788,0.5
4,3809,0.5
4,3911,0.5
4,4014,0.0
4,4027,0.5
4,4029,0.5
4,4033,0.75
4,4034,1.0
4,4121,0.75
4,4239,1.0
4,4246,0.75
4,4308,0.0
4,4641,0.0
4,4741,0.5
4,4902,0.75
5,34,0.75
5,36,0.75
5,39,0.5
5,50,0.75
5,58,1.0
5,150,0.5
5,153,0.5
5,232,0.75
5,247,1.0
5,253,0.5
5,261,0.75
5,266,0.0
5,290,1.0
5,296,1.0
5,300,0.5
5,316,0.25
5,318,0.5
5,344,0.5
5,357,0.25
5,380,0.25
5,474,0.75
5,475,1.0
5,515,0.5
5,527,1.0
5,531,0.75
5,534,0.5
5,589,0.5
5,590,1.0
5,592,0.5
5,594,1.0
5,595,1.0
5,596,1.0
5,608,0.5
6,2,0.75
6,3,1.0
6,4,0.5
6,7,0.75
6,8,0.5
6,10,0.5
6,13,0.5
6,15,0.75
6,16,0.75
6,17,0.75
6,19,0.25
6,21,0.25
6,22,1.0
6,24,0.75
6,25,0.5
6,26,0.75
6,27,0.5
6,31,0.5
6,32,0.75
6,36,1.0
6,41,0.75
6,43,0.75
6,45,0.5
6,46,0.75
6,60,0.75
6,61,0.75
6,62,0.75
6,65,0.5
6,66,0.5
6,76,0.75
6,79,0.5
6,86,1.0
6,87,0.5
6,88,0.25
6,92,0.75
6,100,0.5
6,104,0.75
6,105,0.5
6,110,1.0
6,112,0.75
6,126,0.5
6,135,0.5
6,140,0.5
6,145,0.75
6,150,0.75
6,151,0.75
6,153,0.5
6,158,0.75
6,159,0.5
6,160,1.0
6,165,0.5
6,168,1.0
6,170,0.5
6,171,0.5
6,174,0.5
6,177,0.5
6,180,0.25
6,185,0.5
6,186,0.5
6,191,0.25
6,195,0.75
6,196,0.5
6,204,0.5
6,205,0.5
6,207,0.75
6,208,0.5
6,216,0.75
6,218,0.25
6,222,0.75
6,224,0.5
6,225,0.75
6,230,1.0
6,231,0.5
6,234,0.25
6,236,0.75
6,237,0.75
6,239,0.5
6,248,1.0
6,250,0.75
6,252,0.75
6,253,0.5
6,256,0.5
6,257,1.0
6,261,0.75
6,262,1.0
6,265,0.5
6,266,0.5
6,267,0.5
6,274,0.75
6,276,0.75
6,289,0.5
6,293,0.5
6,296,0.25
6,303,0.5
6,312,0.0
6,314,1.0
6,315,0.75
6,316,1.0
6,317,0.75
6,318,1.0
6,327,0.0
6,330,0.5
6,332,0.5
6,337,1.0
6,339,0.75
6,342,0.5
6,344,0.5
6,350,1.0
6,353,0.75
6,354,0.75
6,355,0.75
6,356,1.0
6,357,0.5
6,358,0.5
6,361,0.75
6,362,0.5
6,364,1.0
6,366,0.5
6,367,0.75
6,368,1.0
6,371,0.5
6,374,0.5
6,377,1.0
6,378,0.5
6,381,0.5
6,382,0.5
6,383,0.5
6,405,0.5
6,415,0.75
